expectedNume,expectedPrenume,expectedEmail,expectedParola,newsletter,terms,expected4FieldsErrMessage,expectedTermsAlertErr,expectedSameEmailErrMessage
eu,Craciun,perna@yahoo.com,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
e12,Craciun,perna@yahoo.com,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
123,Craciun,perna@yahoo.com,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
12.,Craciun,perna@yahoo.com,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,eu,perna@yahoo.com,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,e12,perna@yahoo.com,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,123,perna@yahoo.com,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,12.,perna@yahoo.com,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,Ana,ago.ro,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,Ana,a@goro,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,Ana,aa@.ro,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,Ana,a@go.,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,Ana,/@go.ro,parola,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,Ana,bambus@yahoo.com,pa,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,Ana,bambus@yahoo.com,12,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ion,Ana,bambus@yahoo.com,1#,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
,Violeta,abc@yahoo.com,balauri,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ioana,,abc@yahoo.com,balauri,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ioana, Violeta,,balauri,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ioana,Violeta,abc@yahoo.com,,true,true,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,,
Ioana,Violeta,abc@yahoo.com,balauri,true,false,,Trebuie sa fiti de acord cu termenii si conditiile.,
,Violeta,abc@yahoo.com,balauri,true,false,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate,Trebuie sa fiti de acord cu termenii si conditiile.,
,,,,false,false,Toate campurile sunt obligatorii. Va rugam sa completati campurile ramase necompletate, Trebuie sa fiti de acord cu termenii si conditiile.,
Ioana,Dragomir,cirja@yahoo.com,balauri,false,true,,,Exista deja un cont cu aceasta adresa de email
